Name,Id
id,1
gender,2
PPE,3
DFA,4
RPDE,5
numPulses,2
numPeriodsPulses,2
meanPeriodPulses,2
stdDevPeriodPulses,6
locPctJitter,6
locAbsJitter,6
rapJitter,6
ppq5Jitter,6
ddpJitter,6
locShimmer,5
locDbShimmer,5
apq3Shimmer,5
apq5Shimmer,5
apq11Shimmer,5
ddaShimmer,5
meanAutoCorrHarmonicity,5
meanNoiseToHarmHarmonicity,5
meanHarmToNoiseHarmonicity,5
minIntensity,7
maxIntensity,7
meanIntensity,7
f1,8
f2,8
f3,9
f4,9
b1,10
b2,11
b3,12
b4,13
GQ_prc5_95,14
GQ_std_cycle_open,14
GQ_std_cycle_closed,14
GNE_mean,15
GNE_std,15
GNE_SNR_TKEO,16
GNE_SNR_SEO,17
GNE_NSR_TKEO,16
GNE_NSR_SEO,18
VFER_mean,19
VFER_std,19
VFER_entropy,19
VFER_SNR_TKEO,20
VFER_SNR_SEO,21
VFER_NSR_TKEO,20
VFER_NSR_SEO,21
IMF_SNR_SEO,22
IMF_SNR_TKEO,23
IMF_SNR_entropy,22
IMF_NSR_SEO,23
IMF_NSR_TKEO,22
IMF_NSR_entropy,23
mean_Log_energy,24
mean_MFCC_0th_coef,25
mean_MFCC_1st_coef,26
mean_MFCC_2nd_coef,4
mean_MFCC_3rd_coef,27
mean_MFCC_4th_coef,28
mean_MFCC_5th_coef,29
mean_MFCC_6th_coef,30
mean_MFCC_7th_coef,31
mean_MFCC_8th_coef,32
mean_MFCC_9th_coef,2
mean_MFCC_10th_coef,33
mean_MFCC_11th_coef,34
mean_MFCC_12th_coef,35
mean_delta_log_energy,36
mean_0th_delta,36
mean_1st_delta,37
mean_2nd_delta,38
mean_3rd_delta,39
mean_4th_delta,40
mean_5th_delta,41
mean_6th_delta,42
mean_7th_delta,43
mean_8th_delta,44
mean_9th_delta,45
mean_10th_delta,46
mean_11th_delta,47
mean_12th_delta,48
mean_delta_delta_log_energy,49
mean_delta_delta_0th,50
mean_1st_delta_delta,50
mean_2nd_delta_delta,51
mean_3rd_delta_delta,52
mean_4th_delta_delta,53
mean_5th_delta_delta,54
mean_6th_delta_delta,55
mean_7th_delta_delta,56
mean_8th_delta_delta,57
mean_9th_delta_delta,58
mean_10th_delta_delta,59
mean_11th_delta_delta,60
mean_12th_delta_delta,61
std_Log_energy,24
std_MFCC_0th_coef,62
std_MFCC_1st_coef,62
std_MFCC_2nd_coef,62
std_MFCC_3rd_coef,63
std_MFCC_4th_coef,63
std_MFCC_5th_coef,63
std_MFCC_6th_coef,63
std_MFCC_7th_coef,63
std_MFCC_8th_coef,64
std_MFCC_9th_coef,64
std_MFCC_10th_coef,64
std_MFCC_11th_coef,64
std_MFCC_12th_coef,64
std_delta_log_energy,24
std_0th_delta,62
std_1st_delta,62
std_2nd_delta,62
std_3rd_delta,63
std_4th_delta,63
std_5th_delta,63
std_6th_delta,63
std_7th_delta,63
std_8th_delta,64
std_9th_delta,64
std_10th_delta,64
std_11th_delta,64
std_12th_delta,64
std_delta_delta_log_energy,24
std_delta_delta_0th,62
std_1st_delta_delta,62
std_2nd_delta_delta,62
std_3rd_delta_delta,63
std_4th_delta_delta,63
std_5th_delta_delta,63
std_6th_delta_delta,63
std_7th_delta_delta,63
std_8th_delta_delta,64
std_9th_delta_delta,64
std_10th_delta_delta,64
std_11th_delta_delta,64
std_12th_delta_delta,64
Ea,65
Ed_1_coef,66
Ed_2_coef,67
Ed_3_coef,67
Ed_4_coef,67
Ed_5_coef,67
Ed_6_coef,67
Ed_7_coef,65
Ed_8_coef,65
Ed_9_coef,65
Ed_10_coef,65
det_entropy_shannon_1_coef,68
det_entropy_shannon_2_coef,3
det_entropy_shannon_3_coef,67
det_entropy_shannon_4_coef,67
det_entropy_shannon_5_coef,67
det_entropy_shannon_6_coef,67
det_entropy_shannon_7_coef,65
det_entropy_shannon_8_coef,65
det_entropy_shannon_9_coef,65
det_entropy_shannon_10_coef,65
det_entropy_log_1_coef,66
det_entropy_log_2_coef,66
det_entropy_log_3_coef,67
det_entropy_log_4_coef,67
det_entropy_log_5_coef,67
det_entropy_log_6_coef,67
det_entropy_log_7_coef,65
det_entropy_log_8_coef,65
det_entropy_log_9_coef,65
det_entropy_log_10_coef,65
det_TKEO_mean_1_coef,66
det_TKEO_mean_2_coef,66
det_TKEO_mean_3_coef,67
det_TKEO_mean_4_coef,67
det_TKEO_mean_5_coef,67
det_TKEO_mean_6_coef,67
det_TKEO_mean_7_coef,65
det_TKEO_mean_8_coef,65
det_TKEO_mean_9_coef,65
det_TKEO_mean_10_coef,65
det_TKEO_std_1_coef,66
det_TKEO_std_2_coef,66
det_TKEO_std_3_coef,67
det_TKEO_std_4_coef,67
det_TKEO_std_5_coef,67
det_TKEO_std_6_coef,67
det_TKEO_std_7_coef,65
det_TKEO_std_8_coef,65
det_TKEO_std_9_coef,65
det_TKEO_std_10_coef,65
app_entropy_shannon_1_coef,2
app_entropy_shannon_2_coef,2
app_entropy_shannon_3_coef,2
app_entropy_shannon_4_coef,2
app_entropy_shannon_5_coef,2
app_entropy_shannon_6_coef,2
app_entropy_shannon_7_coef,2
app_entropy_shannon_8_coef,2
app_entropy_shannon_9_coef,2
app_entropy_shannon_10_coef,2
app_entropy_log_1_coef,2
app_entropy_log_2_coef,2
app_entropy_log_3_coef,2
app_entropy_log_4_coef,2
app_entropy_log_5_coef,2
app_entropy_log_6_coef,2
app_entropy_log_7_coef,2
app_entropy_log_8_coef,2
app_entropy_log_9_coef,2
app_entropy_log_10_coef,2
app_det_TKEO_mean_1_coef,2
app_det_TKEO_mean_2_coef,2
app_det_TKEO_mean_3_coef,2
app_det_TKEO_mean_4_coef,2
app_det_TKEO_mean_5_coef,2
app_det_TKEO_mean_6_coef,2
app_det_TKEO_mean_7_coef,2
app_det_TKEO_mean_8_coef,2
app_det_TKEO_mean_9_coef,2
app_det_TKEO_mean_10_coef,2
app_TKEO_std_1_coef,2
app_TKEO_std_2_coef,2
app_TKEO_std_3_coef,2
app_TKEO_std_4_coef,2
app_TKEO_std_5_coef,2
app_TKEO_std_6_coef,2
app_TKEO_std_7_coef,2
app_TKEO_std_8_coef,2
app_TKEO_std_9_coef,2
app_TKEO_std_10_coef,2
Ea2,65
Ed2_1_coef,66
Ed2_2_coef,67
Ed2_3_coef,67
Ed2_4_coef,67
Ed2_5_coef,67
Ed2_6_coef,67
Ed2_7_coef,65
Ed2_8_coef,65
Ed2_9_coef,65
Ed2_10_coef,65
det_LT_entropy_shannon_1_coef,66
det_LT_entropy_shannon_2_coef,67
det_LT_entropy_shannon_3_coef,67
det_LT_entropy_shannon_4_coef,67
det_LT_entropy_shannon_5_coef,67
det_LT_entropy_shannon_6_coef,69
det_LT_entropy_shannon_7_coef,70
det_LT_entropy_shannon_8_coef,70
det_LT_entropy_shannon_9_coef,71
det_LT_entropy_shannon_10_coef,71
det_LT_entropy_log_1_coef,66
det_LT_entropy_log_2_coef,67
det_LT_entropy_log_3_coef,67
det_LT_entropy_log_4_coef,67
det_LT_entropy_log_5_coef,67
det_LT_entropy_log_6_coef,67
det_LT_entropy_log_7_coef,65
det_LT_entropy_log_8_coef,65
det_LT_entropy_log_9_coef,65
det_LT_entropy_log_10_coef,65
det_LT_TKEO_mean_1_coef,66
det_LT_TKEO_mean_2_coef,67
det_LT_TKEO_mean_3_coef,67
det_LT_TKEO_mean_4_coef,67
det_LT_TKEO_mean_5_coef,67
det_LT_TKEO_mean_6_coef,67
det_LT_TKEO_mean_7_coef,65
det_LT_TKEO_mean_8_coef,65
det_LT_TKEO_mean_9_coef,65
det_LT_TKEO_mean_10_coef,65
det_LT_TKEO_std_1_coef,66
det_LT_TKEO_std_2_coef,67
det_LT_TKEO_std_3_coef,67
det_LT_TKEO_std_4_coef,67
det_LT_TKEO_std_5_coef,67
det_LT_TKEO_std_6_coef,67
det_LT_TKEO_std_7_coef,65
